Msg-num|Receive time [ms]|Mware time [s]|Send time [nm]|Mail time [s]|Send-to-Server[ms]|Mware-to-Server[s]|Send-to-Mware[s]|Send-to-Email[s]|Mware-to-Email[s]
2006|1593107107223|1593107105|1593107104403036782|1593107107|2820|2|1|3|2
2007|1593107720177|1593107718|1593107716980881011|1593107720|3197|2|2|4|2
2008|1593108332513|1593108331|1593108329980487909|1593108332|2533|1|2|3|1
2009|1593108945072|1593108944|1593108942576086198|1593108944|2496|1|2|2|0
2010|1593109557597|1593109556|1593109554939819242|1593109557|2658|1|2|3|1
2011|1593110170691|1593110169|1593110168178265617|1593110170|2513|1|1|2|1
2012|1593110783985|1593110782|1593110781239857281|1593110783|2746|1|1|2|1
2013|1593111397686|1593111396|1593111395096607259|1593111397|2590|1|1|2|1
2014|1593112010683|1593112009|1593112008058620894|1593112010|2625|1|1|2|1
2015|1593112626241|1593112623|1593112621696896886|1593112626|4545|3|2|5|3
2016|1593113236229|1593113235|1593113233697456581|1593113236|2532|1|2|3|1
2017|1593113849489|1593113847|1593113846269240995|1593113849|3220|2|1|3|2
2018|1593114461621|1593114460|1593114459041740429|1593114461|2580|1|1|2|1
2019|1593115074385|1593115073|1593115071846163286|1593115074|2539|1|2|3|1
2020|1593115687320|1593115686|1593115684803434894|1593115687|2517|1|2|3|1
2021|1593116300980|1593116298|1593116297759680258|1593116300|3221|2|1|3|2
2022|1593116913326|1593116912|1593116910596641446|1593116913|2730|1|2|3|1
2023|1593117526790|1593117524|1593117523181063999|1593117526|3609|2|1|3|2
2024|1593118139251|1593118137|1593118136174217972|1593118139|3077|2|1|3|2
2025|1593118752752|1593118750|1593118748723417570|1593118752|4029|2|2|4|2
2026|1593119365956|1593119363|1593119361723645986|1593119365|4233|2|2|4|2
2027|1593119977084|1593119976|1593119974494552933|1593119977|2590|1|2|3|1
2028|1593120590416|1593120588|1593120587239975727|1593120590|3177|2|1|3|2
2029|1593121202880|1593121202|1593121200253098245|1593121202|2627|0|2|2|0
2030|1593121816717|1593121815|1593121813822274603|1593121816|2895|1|2|3|1
2031|1593122430186|1593122429|1593122427623890355|1593122430|2563|1|2|3|1
2032|1593123043865|1593123042|1593123040623934606|1593123043|3242|1|2|3|1
2033|1593123656615|1593123655|1593123653393466516|1593123656|3222|1|2|3|1
2034|1593124268927|1593124268|1593124266434891100|1593124268|2493|0|2|2|0
2035|1593124881888|1593124880|1593124878578099517|1593124881|3310|1|2|3|1
2036|1593125493939|1593125492|1593125491358557045|1593125493|2581|1|1|2|1
2037|1593126115104|1593126106|1593126104310592712|1593126115|10794|9|2|11|9
2038|1593126720279|1593126719|1593126717330051140|1593126720|2949|1|2|3|1
2039|1593127333420|1593127331|1593127330332002110|1593127333|3088|2|1|3|2
2040|1593127945346|1593127944|1593127942946144902|1593127945|2400|1|2|3|1
2041|1593128558320|1593128556|1593128554936131820|1593128558|3384|2|2|4|2
2042|1593129170843|1593129169|1593129167561315067|1593129170|3282|1|2|3|1
2043|1593129783347|1593129781|1593129780172353710|1593129783|3175|2|1|3|2
2044|1593130395632|1593130395|1593130393156723384|1593130395|2476|0|2|2|0
2045|1593131008363|1593131007|1593131005945616276|1593131008|2418|1|2|3|1
2046|1593131622066|1593131620|1593131618968284686|1593131621|3098|2|2|3|1
2047|1593132234867|1593132234|1593132231968547227|1593132234|2899|0|3|3|0
2048|1593132847619|1593132846|1593132844541020000|1593132847|3078|1|2|3|1
2049|1593133460005|1593133458|1593133457549516340|1593133459|2456|2|1|2|1
2050|1593134073296|1593134072|1593134070140597244|1593134073|3156|1|2|3|1
2051|1593134685659|1593134683|1593134682741438459|1593134685|2918|2|1|3|2
2052|1593135298208|1593135297|1593135295699085538|1593135298|2509|1|2|3|1
2053|1593135912059|1593135911|1593135909559952482|1593135911|2500|1|2|2|0
2054|1593136525597|1593136523|1593136522318684011|1593136525|3279|2|1|3|2
2055|1593137137640|1593137136|1593137135133894491|1593137137|2507|1|1|2|1
2056|1593137750147|1593137748|1593137747483114444|1593137750|2664|2|1|3|2
2057|1593138363542|1593138362|1593138360443376589|1593138363|3099|1|2|3|1
2058|1593138976480|1593138974|1593138973422230402|1593138976|3058|2|1|3|2
2059|1593139588528|1593139587|1593139585985367290|1593139588|2543|1|2|3|1
2060|1593140200889|1593140199|1593140198140724764|1593140200|2749|1|1|2|1
2061|1593140813897|1593140812|1593140811434714431|1593140813|2463|1|1|2|1
2062|1593141426921|1593141426|1593141424438688513|1593141426|2483|0|2|2|0
2063|1593142040250|1593142038|1593142037027214667|1593142040|3223|2|1|3|2
2064|1593142652756|1593142650|1593142649650355258|1593142652|3106|2|1|3|2
2065|1593143265071|1593143264|1593143262400671623|1593143264|2671|1|2|2|0
2066|1593143877840|1593143876|1593143875413135101|1593143877|2427|1|1|2|1
2067|1593144490930|1593144489|1593144488400126914|1593144490|2530|1|1|2|1
2068|1593145103811|1593145102|1593145101353680021|1593145103|2458|1|1|2|1
2069|1593145716784|1593145715|1593145714341702086|1593145716|2443|1|1|2|1
2070|1593146330115|1593146329|1593146327633480727|1593146330|2482|1|2|3|1
2071|1593146943278|1593146941|1593146940611678183|1593146943|2667|2|1|3|2
2072|1593147556594|1593147554|1593147553387393199|1593147556|3207|2|1|3|2
2073|1593148168819|1593148168|1593148166164917650|1593148168|2655|0|2|2|0
2074|1593148781649|1593148780|1593148779170565396|1593148781|2479|1|1|2|1
2075|1593149394391|1593149393|1593149391927705992|1593149394|2464|1|2|3|1
2076|1593150007822|1593150006|1593150004732129696|1593150007|3090|1|2|3|1
2077|1593150619945|1593150619|1593150617510739285|1593150619|2435|0|2|2|0
2078|1593151232997|1593151232|1593151230499341644|1593151232|2498|0|2|2|0
2079|1593151845849|1593151845|1593151843284021712|1593151845|2565|0|2|2|0
2080|1593152458922|1593152457|1593152456105469488|1593152458|2817|1|1|2|1
2081|1593153071635|1593153071|1593153069147134005|1593153071|2488|0|2|2|0
2082|1593153684451|1593153683|1593153681926026995|1593153684|2525|1|2|3|1
2083|1593154297391|1593154296|1593154294907560077|1593154297|2484|1|2|3|1
2084|1593154911455|1593154910|1593154908916761777|1593154911|2539|1|2|3|1
2085|1593155524203|1593155523|1593155521761194762|1593155524|2442|1|2|3|1
2086|1593156136726|1593156135|1593156134314008280|1593156136|2412|1|1|2|1
2087|1593156750641|1593156748|1593156747089946802|1593156750|3552|2|1|3|2
